group,names,scores,logfoldchanges,pvals,pvals_adj
4,PTCH1,58.779354,2.5191414,0.0,0.0
4,ZNF727,7.486525,2.5191336,7.072103179235496e-14,2.3056697569686863e-13
4,WT1-AS,10.622449,2.5145893,2.343318065202936e-26,9.206168989605586e-26
4,KLK1,11.536587,2.5125403,8.628171327428915e-31,3.5689359102896874e-30
4,KIF7,12.25813,2.5095913,1.5196702873660884e-34,6.5653410080547515e-34
4,GHR,17.585808,2.5076709,3.164402416660114e-69,1.8128301295961846e-68
4,F2RL2,6.2589564,2.5072327,3.875622693567616e-10,1.1666881327563486e-09
4,MAP3K15,2.6794176,2.5045266,0.007375036631458032,0.016474433157594205
4,SP5,18.46603,2.504483,3.875551256372551e-76,2.3159640889541075e-75
4,PCDHGC3,14.154122,2.5041702,1.761218635937817e-45,8.44461439356657e-45
4,FIGN,8.652884,2.4995682,5.021425550522802e-18,1.7536406722034833e-17
4,WNT11,7.1752796,2.498146,7.215958460741332e-13,2.3053920627055234e-12
4,RBM24,14.905048,2.496715,3.0558981620945277e-50,1.5189553633942678e-49
4,AC017076.1,3.4007573,2.493137,0.0006719944668649647,0.0016137787868994145
4,LINC00882,10.064102,2.492303,7.961061069413915e-24,3.0264761927721505e-23
4,AR,104.50872,2.4901228,0.0,0.0
4,PPP4R4,2.4753225,2.4856534,0.013311590583829712,0.029151940067627356
4,JAZF1-AS1,3.6280768,2.4848716,0.00028554023541213806,0.0006999676440262493
4,AL354811.1,2.6569438,2.4845178,0.007885257505725503,0.017581132140344694
4,SLC66A2,5.599092,2.484054,2.1547752045074348e-08,6.186496725100909e-08
4,HAS1,8.723882,2.4811244,2.6882447468853817e-18,9.430826378205051e-18
4,AC119674.1,2.3185937,2.4786077,0.020417080728241766,0.04406639064719052
4,BMP1,72.29403,2.4783328,0.0,0.0
4,AP000941.1,2.9908767,2.4773843,0.0027817791383269166,0.006416152823005225
4,RIPPLY3,2.5870075,2.4711807,0.009681348744691022,0.021454179798678242
4,HS3ST3A1,5.0744815,2.4702783,3.8855412880814753e-07,1.072906500408596e-06
4,LMO3,3.1614285,2.4701402,0.001569973906634453,0.0036785068252862584
4,METTL24,5.892624,2.4685435,3.801104476395258e-09,1.1136670400222602e-08
4,SAMD14,9.022484,2.4671865,1.8387288886679413e-19,6.577917547491604e-19
4,SNAP25,9.034644,2.4665616,1.645366294880785e-19,5.890575243354619e-19
4,HSPA12A,37.17591,2.4638476,1.6724774547148668e-302,2.2503813971646664e-301
4,RERG,33.757908,2.46207,8.184109224834143e-250,9.669199687001102e-249
4,SRRM3,12.018116,2.4619,2.854048445673633e-33,1.2150148114384982e-32
4,ARMC9,54.67942,2.4609659,0.0,0.0
4,FRRS1L,19.821438,2.4595013,1.9447052713865564e-87,1.2420955946010395e-86
4,SNX32,4.311312,2.4586504,1.6228848311534294e-05,4.215000124072188e-05
4,WNK3,25.541258,2.4570684,6.86699712021055e-144,5.781484064133682e-143
4,PCSK5,50.691372,2.4564111,0.0,0.0
4,AL445250.1,6.8879704,2.4531684,5.659401520534217e-12,1.774346954708369e-11
4,SLC25A21,3.5678463,2.4525483,0.0003599276690244154,0.0008771711454453247
4,PCDHB10,11.62307,2.450663,3.146252956837531e-31,1.3061281415309277e-30
4,AC239809.3,5.0281196,2.450194,4.953135144327397e-07,1.363678495507989e-06
4,PCDHB14,21.11558,2.4494865,5.7204499721187655e-99,3.915012118872336e-98
4,DLK2,9.281076,2.4458568,1.6777545749337247e-20,6.095493199421256e-20
4,DUBR,24.976147,2.445112,1.1105837819425403e-137,9.133798017162878e-137
4,EVC,12.533076,2.4450727,4.921603452291461e-36,2.162217454157387e-35
4,ADAM12,35.185734,2.4428258,3.3048427902738527e-271,4.121984508433978e-270
4,HAAO,21.767368,2.4415486,4.730141878708529e-105,3.331688583528817e-104
4,RPARP-AS1,2.6685278,2.441448,0.0076184440195501855,0.016997274908845564
4,AC100803.3,3.5294652,2.4381547,0.00041640052674166123,0.0010116886313972584
4,HAS2,8.984903,2.4379308,2.589628848866518e-19,9.237956928891675e-19
4,FAM222A,4.1836276,2.4347246,2.8689399827615626e-05,7.38242677938653e-05
4,AL139385.1,2.320878,2.432793,0.020293434016188456,0.04380564081144969
4,DNAJC12,36.64147,2.432764,6.2561952411652385e-294,8.207140336107556e-293
4,SPEG,18.475037,2.431899,3.280090215630714e-76,1.9612642347552424e-75
4,CAP2,28.936268,2.4315386,4.177855802231958e-184,4.055433080388917e-183
4,RBFOX1,7.6849365,2.4310727,1.5307284440113523e-14,5.0475006955146555e-14
4,SATB2,7.732938,2.4297583,1.050925953558453e-14,3.4791097307873934e-14
4,CD81-AS1,2.7488477,2.427834,0.005980517326126986,0.013463460485003041
4,KIF26B,25.336826,2.4272296,1.255445148175627e-141,1.0498388310244617e-140
4,COL21A1,35.980427,2.4268901,1.6930534160652695e-283,2.1694528163486438e-282
4,GPRASP2,25.93306,2.4245517,2.8235716841464884e-148,2.4180695495127603e-147
4,DGKB,3.8070927,2.4222722,0.00014061002516055224,0.000350838302061612
4,ACSS3,41.585445,2.4190092,0.0,0.0
4,HAPLN2,3.262972,2.4179506,0.001102503661070431,0.0026075207111037504
4,AQP11,11.63457,2.4165,2.749718152408531e-31,1.142432301875124e-30
4,TRIM34,3.6667645,2.4161258,0.00024563874298824684,0.000604070387455263
4,WDR86,50.06845,2.4153097,0.0,0.0
4,ARMH4,36.54611,2.4151936,2.055949635685691e-292,2.6890916373312595e-291
4,OXCT2,3.717545,2.413543,0.00020116815403019774,0.0004969630034858383
4,TGFBR3L,10.568819,2.4129999,4.1569563348469563e-26,1.6275531978859245e-25
4,H19,2.9314773,2.4128222,0.0033735406521001087,0.0077291342427322504
4,LINC02381,12.294301,2.4117308,9.719362681145694e-35,4.211360470856161e-34
4,ADORA1,3.385921,2.4106748,0.0007093981515001424,0.0017012235155505044
4,RFLNA,3.3089578,2.4084854,0.0009364396162793806,0.0022275486200528604
4,ZNF711,26.092432,2.4081528,4.4431298754673175e-150,3.8315796613021313e-149
4,TMEM130,3.179652,2.4070334,0.001474520754846696,0.003460102723411042
4,PFKM,57.105385,2.405985,0.0,0.0
4,STARD4-AS1,45.503307,2.400351,0.0,0.0
