total_immune_region_level,total_immune_spot_level,tissue_level_immune_class,library_id
54.467182,59.585938,Immune-moderate-low,BEME_346
93.843414,97.047646,Immune-high,BEME_346
24.591093,27.787563,Immune-low,BEME_346
96.11404,72.99439,Immune-high,BEME_346
45.566067,41.88803,Immune-moderate-low,BEME_346
96.11404,79.48331,Immune-high,BEME_346
15.260765,14.679385,Immune-low,BEME_346
15.260765,20.168839,Immune-low,BEME_346
54.467182,45.37554,Immune-moderate-low,BEME_346
54.467182,69.80364,Immune-moderate-low,BEME_346
15.260765,22.05307,Immune-low,BEME_346
96.11404,74.59976,Immune-high,BEME_346
15.260765,18.434807,Immune-low,BEME_346
7.338196,5.6542373,Immune-poor,BEME_346
54.467182,66.37612,Immune-moderate-low,BEME_346
38.69574,31.810163,Immune-low,BEME_346
1.4665425,2.9856994,Immune-poor,BEME_346
54.467182,45.347385,Immune-moderate-low,BEME_346
1.4665425,3.476397,Immune-poor,BEME_346
7.338196,2.8718135,Immune-poor,BEME_346
15.260765,22.658735,Immune-low,BEME_346
15.260765,8.306437,Immune-low,BEME_346
1.4665425,0.73972327,Immune-poor,BEME_346
1.4665425,3.8551226,Immune-poor,BEME_346
45.566067,43.398926,Immune-moderate-low,BEME_346
1.4665425,1.9989687,Immune-poor,BEME_346
45.566067,41.937435,Immune-moderate-low,BEME_346
38.69574,52.772865,Immune-low,BEME_346
64.28651,73.85489,Immune-moderate-high,BEME_346
93.843414,100.62916,Immune-high,BEME_346
7.338196,8.122382,Immune-poor,BEME_346
54.467182,48.148838,Immune-moderate-low,BEME_346
15.260765,11.348447,Immune-low,BEME_346
64.28651,72.689995,Immune-moderate-high,BEME_346
45.566067,50.57185,Immune-moderate-low,BEME_346
96.11404,135.8178,Immune-high,BEME_346
7.338196,3.8045628,Immune-poor,BEME_346
54.467182,56.921207,Immune-moderate-low,BEME_346
45.566067,50.63216,Immune-moderate-low,BEME_346
64.28651,76.03099,Immune-moderate-high,BEME_346
64.28651,76.50888,Immune-moderate-high,BEME_346
54.467182,39.59162,Immune-moderate-low,BEME_346
15.260765,23.195122,Immune-low,BEME_346
45.566067,54.00914,Immune-moderate-low,BEME_346
15.260765,15.314709,Immune-low,BEME_346
15.260765,9.150363,Immune-low,BEME_346
93.843414,137.78903,Immune-high,BEME_346
64.28651,63.255642,Immune-moderate-high,BEME_346
15.260765,18.384169,Immune-low,BEME_346
64.28651,68.09434,Immune-moderate-high,BEME_346
93.843414,100.49395,Immune-high,BEME_346
54.467182,61.046204,Immune-moderate-low,BEME_346
38.69574,32.591232,Immune-low,BEME_346
38.69574,45.933823,Immune-low,BEME_346
96.11404,56.803444,Immune-high,BEME_346
15.260765,7.9914417,Immune-low,BEME_346
24.591093,19.243183,Immune-low,BEME_346
38.69574,35.596306,Immune-low,BEME_346
45.566067,52.962723,Immune-moderate-low,BEME_346
93.843414,72.80117,Immune-high,BEME_346
64.28651,57.94634,Immune-moderate-high,BEME_346
64.28651,54.77815,Immune-moderate-high,BEME_346
1.4665425,0.44862914,Immune-poor,BEME_346
15.260765,17.70424,Immune-low,BEME_346
38.69574,31.34271,Immune-low,BEME_346
54.467182,45.70854,Immune-moderate-low,BEME_346
93.843414,83.73198,Immune-high,BEME_346
15.260765,16.548643,Immune-low,BEME_346
7.338196,3.2318192,Immune-poor,BEME_346
45.566067,49.30383,Immune-moderate-low,BEME_346
96.11404,193.66458,Immune-high,BEME_346
54.467182,56.865726,Immune-moderate-low,BEME_346
1.4665425,0.35598078,Immune-poor,BEME_346
96.11404,56.935696,Immune-high,BEME_346
45.566067,35.946735,Immune-moderate-low,BEME_346
93.843414,94.076645,Immune-high,BEME_346
15.260765,11.324381,Immune-low,BEME_346
38.69574,49.7203,Immune-low,BEME_346
15.260765,7.2887845,Immune-low,BEME_346
64.28651,57.236942,Immune-moderate-high,BEME_346
93.843414,112.30969,Immune-high,BEME_346
54.467182,36.408577,Immune-moderate-low,BEME_346
45.566067,48.228325,Immune-moderate-low,BEME_346
7.338196,5.110943,Immune-poor,BEME_346
64.28651,71.16148,Immune-moderate-high,BEME_346
45.566067,49.058956,Immune-moderate-low,BEME_346
1.4665425,1.4293709,Immune-poor,BEME_346
64.28651,69.006546,Immune-moderate-high,BEME_346
64.28651,55.916477,Immune-moderate-high,BEME_346
38.69574,31.73568,Immune-low,BEME_346
7.338196,9.990768,Immune-poor,BEME_346
54.467182,34.223526,Immune-moderate-low,BEME_346
24.591093,17.008118,Immune-low,BEME_346
38.69574,33.05931,Immune-low,BEME_346
45.566067,42.099247,Immune-moderate-low,BEME_346
96.11404,62.526814,Immune-high,BEME_346
38.69574,45.190765,Immune-low,BEME_346
7.338196,16.761683,Immune-poor,BEME_346
96.11404,122.91491,Immune-high,BEME_346
45.566067,42.31525,Immune-moderate-low,BEME_346
54.467182,47.787617,Immune-moderate-low,BEME_346
96.11404,131.37265,Immune-high,BEME_346
38.69574,32.654575,Immune-low,BEME_346
1.4665425,0.84180963,Immune-poor,BEME_346
15.260765,6.982779,Immune-low,BEME_346
45.566067,46.48206,Immune-moderate-low,BEME_346
38.69574,50.47461,Immune-low,BEME_346
38.69574,30.82932,Immune-low,BEME_346
96.11404,93.38777,Immune-high,BEME_346
54.467182,67.74298,Immune-moderate-low,BEME_346
96.11404,91.6733,Immune-high,BEME_346
96.11404,144.00615,Immune-high,BEME_346
54.467182,53.658455,Immune-moderate-low,BEME_346
54.467182,47.04152,Immune-moderate-low,BEME_346
