ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
B2M,B2M,330.25003,1.0,KIR2DL3,KIR2DL3,0.33333334,0.20833333333333334,TRM_SEN_DYS,NK-CD16-_SEN_DYS,165.29169,0.0
B2M,B2M,330.25003,1.0,KIR2DL1,KIR2DL1,0.25,0.16666666666666666,TRM_SEN_DYS,NK-CD16-_SEN_DYS,165.25002,0.0
B2M,B2M,330.25003,1.0,CD1C,CD1C,0.25,0.2,TRM_SEN_DYS,Mono-C_SEN_DYS,165.25002,0.0
B2M,B2M,330.25003,1.0,HFE,HFE_TFRC,0.1,0.1,TRM_SEN_DYS,Mono-C_SEN_DYS,165.17502,0.0
APOE,APOE,315.87503,0.9166666666666666,TREM2,TREM2,9.999999,0.875,TRM_SEN_DYS,TRM_SEN_DYS,162.93752,0.0
APOE,APOE,315.87503,0.9166666666666666,LRP1,LRP1,5.541667,0.9166666666666666,TRM_SEN_DYS,TRM_SEN_DYS,160.70834,0.0
APOE,APOE,315.87503,0.9166666666666666,ABCA1,ABCA1,3.5833335,0.9166666666666666,TRM_SEN_DYS,TRM_SEN_DYS,159.72919,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,2.280443,0.8044280442804428,TRM_SEN_DYS,Mono-C_Other,159.07774,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,2.175,0.85,TRM_SEN_DYS,Mono-C_SEN_DYS,159.02501,0.0
APOE,APOE,315.87503,0.9166666666666666,TREM2,TREM2,2.1093009,0.3325581395348837,TRM_SEN_DYS,TRM_Other,158.99217,0.0
APOE,APOE,315.87503,0.9166666666666666,LRP1,LRP1,2.0,0.8,TRM_SEN_DYS,Mono-C_SEN_DYS,158.93752,0.0
APOE,APOE,315.87503,0.9166666666666666,LRP1,LRP1,2.0000012,0.8413284132841329,TRM_SEN_DYS,Mono-C_Other,158.93752,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,1.7976722,0.6627906976744186,TRM_SEN_DYS,TRM_Other,158.83635,0.0
APOE,APOE,315.87503,0.9166666666666666,TREM2,TREM2,1.7619047,0.23809523809523808,TRM_SEN_DYS,cDC2_SEN_DYS,158.81847,0.0
APOE,APOE,315.87503,0.9166666666666666,LRP1,LRP1,1.7395344,0.7302325581395349,TRM_SEN_DYS,TRM_Other,158.80728,0.0
APOE,APOE,315.87503,0.9166666666666666,ABCA1,ABCA1,1.6744187,0.5906976744186047,TRM_SEN_DYS,TRM_Other,158.77472,0.0
APOE,APOE,315.87503,0.9166666666666666,SDC2,SDC2,1.6666666,0.125,TRM_SEN_DYS,TRM_SEN_DYS,158.77084,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,1.6666666,0.5,TRM_SEN_DYS,TRM_SEN_DYS,158.77084,0.0
APOE,APOE,315.87503,0.9166666666666666,LRP1,LRP1,1.037037,0.6296296296296297,TRM_SEN_DYS,Mono-NC_Other,158.45604,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,0.95238096,0.47619047619047616,TRM_SEN_DYS,cDC2_SEN_DYS,158.41371,0.0
APOE,APOE,315.87503,0.9166666666666666,SDC2,SDC2,0.7558144,0.2651162790697674,TRM_SEN_DYS,TRM_Other,158.31543,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,0.68518513,0.4444444444444444,TRM_SEN_DYS,Mono-NC_Other,158.2801,0.0
APOE,APOE,315.87503,0.9166666666666666,ABCA1,ABCA1,0.66666675,0.23809523809523808,TRM_SEN_DYS,cDC2_SEN_DYS,158.27084,0.0
APOE,APOE,315.87503,0.9166666666666666,TREM2,TREM2,0.57959175,0.14285714285714285,TRM_SEN_DYS,cDC2_Other,158.22731,0.0
APOE,APOE,315.87503,0.9166666666666666,LRP1,LRP1,0.5714286,0.42857142857142855,TRM_SEN_DYS,cDC2_SEN_DYS,158.22324,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,0.56444466,0.40444444444444444,TRM_SEN_DYS,NK-CD16+_Other,158.21974,0.0
APOE,APOE,315.87503,0.9166666666666666,SCARB1,SCARB1,0.49999997,0.375,TRM_SEN_DYS,TRM_SEN_DYS,158.18752,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,0.5,0.29411764705882354,TRM_SEN_DYS,CD4 T_SEN_DYS,158.18752,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,0.49387768,0.2163265306122449,TRM_SEN_DYS,cDC2_Other,158.18445,0.0
APOE,APOE,315.87503,0.9166666666666666,LRP1,LRP1,0.46122456,0.22040816326530613,TRM_SEN_DYS,cDC2_Other,158.16812,0.0
APOE,APOE,315.87503,0.9166666666666666,LSR,LSR,0.45833334,0.2916666666666667,TRM_SEN_DYS,TRM_SEN_DYS,158.16669,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,0.43962848,0.3126934984520124,TRM_SEN_DYS,CD4 T_Other,158.15733,0.0
APOE,APOE,315.87503,0.9166666666666666,ABCA1,ABCA1,0.3510204,0.1306122448979592,TRM_SEN_DYS,cDC2_Other,158.11302,0.0
APOE,APOE,315.87503,0.9166666666666666,LDLR,LDLR,0.2857143,0.14285714285714285,TRM_SEN_DYS,cDC2_SEN_DYS,158.08037,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,0.2857143,0.23809523809523808,TRM_SEN_DYS,CD8 T_Other,158.08037,0.0
APOE,APOE,315.87503,0.9166666666666666,LDLR,LDLR,0.27500004,0.25,TRM_SEN_DYS,Mono-C_SEN_DYS,158.07501,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,0.25561795,0.20224719101123595,TRM_SEN_DYS,γδ T_Other,158.06532,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,0.25,0.19444444444444445,TRM_SEN_DYS,γδ T_SEN_DYS,158.06252,0.0
APOE,APOE,315.87503,0.9166666666666666,SORL1,SORL1,0.237942,0.17684887459807075,TRM_SEN_DYS,NK-CD16-_Other,158.05649,0.0
APOE,APOE,315.87503,0.9166666666666666,ABCA1,ABCA1,0.20000002,0.1,TRM_SEN_DYS,Mono-C_SEN_DYS,158.03752,0.0
APOE,APOE,315.87503,0.9166666666666666,SCARB1,SCARB1,0.1904762,0.19047619047619047,TRM_SEN_DYS,cDC2_SEN_DYS,158.03276,0.0
APOE,APOE,315.87503,0.9166666666666666,LSR,LSR,0.18181819,0.18181818181818182,TRM_SEN_DYS,Treg_Other,158.02843,0.0
APOE,APOE,315.87503,0.9166666666666666,LDLR,LDLR,0.15498152,0.11808118081180811,TRM_SEN_DYS,Mono-C_Other,158.015,0.0
APOE,APOE,315.87503,0.9166666666666666,ABCA1,ABCA1,0.14391142,0.1070110701107011,TRM_SEN_DYS,Mono-C_Other,158.00948,0.0
APOE,APOE,315.87503,0.9166666666666666,SDC2,SDC2,0.14285715,0.14285714285714285,TRM_SEN_DYS,cDC2_SEN_DYS,158.00894,0.0
APOE,APOE,315.87503,0.9166666666666666,SCARB1,SCARB1,0.14186041,0.10465116279069768,TRM_SEN_DYS,TRM_Other,158.00844,0.0
APOE,APOE,315.87503,0.9166666666666666,LSR,LSR,0.13469386,0.10612244897959183,TRM_SEN_DYS,cDC2_Other,158.00487,0.0
APOE,APOE,315.87503,0.9166666666666666,LDLR,LDLR,0.13023251,0.1,TRM_SEN_DYS,TRM_Other,158.00262,0.0
APOE,APOE,315.87503,0.9166666666666666,ABCA1,ABCA1,0.11904762,0.11904761904761904,TRM_SEN_DYS,CD8 T_Other,157.99704,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,6.708334,0.7916666666666666,cDC2_Other,TRM_SEN_DYS,109.309296,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,4.0476193,0.8095238095238095,cDC2_Other,cDC2_SEN_DYS,107.97894,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,2.6857138,0.6285714285714286,cDC2_Other,cDC2_Other,107.29799,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,2.3333337,0.8703703703703703,cDC2_Other,Mono-NC_Other,107.121796,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,LAG3,LAG3,2.1111114,0.75,cDC2_Other,γδ T_SEN_DYS,107.01069,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,2.079069,0.7255813953488373,cDC2_Other,TRM_Other,106.99467,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,1.925,0.75,cDC2_Other,Mono-C_SEN_DYS,106.91763,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,1.7859782,0.7564575645756457,cDC2_Other,Mono-C_Other,106.84812,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,1.6363636,0.6363636363636364,cDC2_Other,Treg_Other,106.773315,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,LAG3,LAG3,0.9705883,0.5588235294117647,cDC2_Other,CD4 T_SEN_DYS,106.44042,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,LAG3,LAG3,0.6235954,0.3848314606741573,cDC2_Other,γδ T_Other,106.26693,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,0.45201248,0.29102167182662536,cDC2_Other,CD4 T_Other,106.18114,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,0.2647059,0.17647058823529413,cDC2_Other,CD4 T_SEN_DYS,106.08749,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,LAG3,LAG3,0.2444445,0.19555555555555557,cDC2_Other,NK-CD16+_Other,106.077354,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,CD4,CD4,0.19444445,0.1111111111111111,cDC2_Other,γδ T_SEN_DYS,106.05235,0.0
HLA-DRA,HLA-DRA,211.91026,0.9918367346938776,LAG3,LAG3,0.1609907,0.10835913312693499,cDC2_Other,CD4 T_Other,106.03563,0.0
COPA,COPA,1.7499999,0.7083333333333334,CD74,CD74,208.19049,1.0,TRM_SEN_DYS,cDC2_SEN_DYS,104.970245,0.0
APP,APP,1.3749999,0.6666666666666666,CD74,CD74,208.19049,1.0,TRM_SEN_DYS,cDC2_SEN_DYS,104.782745,0.0
COPA,COPA,1.27907,0.6255813953488372,CD74,CD74,208.19049,1.0,TRM_Other,cDC2_SEN_DYS,104.73478,0.0
COPA,COPA,1.1428572,0.5714285714285714,CD74,CD74,208.19049,1.0,cDC2_SEN_DYS,cDC2_SEN_DYS,104.66667,0.0
COPA,COPA,1.0848716,0.6088560885608856,CD74,CD74,208.19049,1.0,Mono-C_Other,cDC2_SEN_DYS,104.63768,0.0
COPA,COPA,0.9749998,0.575,CD74,CD74,208.19049,1.0,Mono-C_SEN_DYS,cDC2_SEN_DYS,104.58275,0.0
COPA,COPA,0.8148147,0.5370370370370371,CD74,CD74,208.19049,1.0,Mono-NC_Other,cDC2_SEN_DYS,104.502655,0.0
COPA,COPA,0.7836733,0.3877551020408163,CD74,CD74,208.19049,1.0,cDC2_Other,cDC2_SEN_DYS,104.48708,0.0
APP,APP,0.6558153,0.4,CD74,CD74,208.19049,1.0,TRM_Other,cDC2_SEN_DYS,104.42316,0.0
APP,APP,0.6125463,0.4132841328413284,CD74,CD74,208.19049,1.0,Mono-C_Other,cDC2_SEN_DYS,104.40152,0.0
APP,APP,0.5714286,0.42857142857142855,CD74,CD74,208.19049,1.0,cDC2_SEN_DYS,cDC2_SEN_DYS,104.38096,0.0
APP,APP,0.50000006,0.425,CD74,CD74,208.19049,1.0,Mono-C_SEN_DYS,cDC2_SEN_DYS,104.345245,0.0
COPA,COPA,0.40909094,0.36363636363636365,CD74,CD74,208.19049,1.0,Treg_Other,cDC2_SEN_DYS,104.29979,0.0
APP,APP,0.35714287,0.30952380952380953,CD74,CD74,208.19049,1.0,CD8 T_Other,cDC2_SEN_DYS,104.27382,0.0
APP,APP,0.33469394,0.20816326530612245,CD74,CD74,208.19049,1.0,cDC2_Other,cDC2_SEN_DYS,104.262596,0.0
COPA,COPA,0.3333333,0.25,CD74,CD74,208.19049,1.0,NK-CD16-_SEN_DYS,cDC2_SEN_DYS,104.26191,0.0
APP,APP,0.3148148,0.25925925925925924,CD74,CD74,208.19049,1.0,Mono-NC_Other,cDC2_SEN_DYS,104.252655,0.0
COPA,COPA,0.29411766,0.23529411764705882,CD74,CD74,208.19049,1.0,CD4 T_SEN_DYS,cDC2_SEN_DYS,104.2423,0.0
COPA,COPA,0.2893258,0.2556179775280899,CD74,CD74,208.19049,1.0,γδ T_Other,cDC2_SEN_DYS,104.23991,0.0
COPA,COPA,0.2711112,0.2222222222222222,CD74,CD74,208.19049,1.0,NK-CD16+_Other,cDC2_SEN_DYS,104.230804,0.0
COPA,COPA,0.25833338,0.19166666666666668,CD74,CD74,208.19049,1.0,B_Other,cDC2_SEN_DYS,104.22441,0.0
COPA,COPA,0.23219803,0.20123839009287925,CD74,CD74,208.19049,1.0,CD4 T_Other,cDC2_SEN_DYS,104.21134,0.0
COPA,COPA,0.22508028,0.1945337620578778,CD74,CD74,208.19049,1.0,NK-CD16-_Other,cDC2_SEN_DYS,104.20779,0.0
COPA,COPA,0.16666667,0.1388888888888889,CD74,CD74,208.19049,1.0,γδ T_SEN_DYS,cDC2_SEN_DYS,104.17858,0.0
COPA,COPA,0.16666667,0.11904761904761904,CD74,CD74,208.19049,1.0,CD8 T_Other,cDC2_SEN_DYS,104.17858,0.0
APP,APP,0.15833336,0.14166666666666666,CD74,CD74,208.19049,1.0,B_Other,cDC2_SEN_DYS,104.174416,0.0
S100A9,S100A9,161.9631,1.0,CD68,CD68,33.083336,1.0,Mono-C_Other,TRM_SEN_DYS,97.523224,0.0
S100A9,S100A9,161.9631,1.0,ITGB2,ITGB2,23.54167,1.0,Mono-C_Other,TRM_SEN_DYS,92.75239,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,6.708334,0.7916666666666666,TRM_SEN_DYS,TRM_SEN_DYS,92.64583,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,4.0476193,0.8095238095238095,TRM_SEN_DYS,cDC2_SEN_DYS,91.315475,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,2.6857138,0.6285714285714286,TRM_SEN_DYS,cDC2_Other,90.63452,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,2.3333337,0.8703703703703703,TRM_SEN_DYS,Mono-NC_Other,90.45833,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,LAG3,LAG3,2.1111114,0.75,TRM_SEN_DYS,γδ T_SEN_DYS,90.34722,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,2.079069,0.7255813953488373,TRM_SEN_DYS,TRM_Other,90.3312,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,1.925,0.75,TRM_SEN_DYS,Mono-C_SEN_DYS,90.254166,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,1.7859782,0.7564575645756457,TRM_SEN_DYS,Mono-C_Other,90.184654,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,1.6363636,0.6363636363636364,TRM_SEN_DYS,Treg_Other,90.10985,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,LAG3,LAG3,0.9705883,0.5588235294117647,TRM_SEN_DYS,CD4 T_SEN_DYS,89.776955,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,LAG3,LAG3,0.6235954,0.3848314606741573,TRM_SEN_DYS,γδ T_Other,89.60346,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,0.45201248,0.29102167182662536,TRM_SEN_DYS,CD4 T_Other,89.51767,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,0.2647059,0.17647058823529413,TRM_SEN_DYS,CD4 T_SEN_DYS,89.42402,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,LAG3,LAG3,0.2444445,0.19555555555555557,TRM_SEN_DYS,NK-CD16+_Other,89.41389,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,CD4,CD4,0.19444445,0.1111111111111111,TRM_SEN_DYS,γδ T_SEN_DYS,89.388885,0.0
HLA-DRA,HLA-DRA,178.58333,1.0,LAG3,LAG3,0.1609907,0.10835913312693499,TRM_SEN_DYS,CD4 T_Other,89.37216,0.0
S100A9,S100A9,161.9631,1.0,ITGB2,ITGB2,13.904763,0.9523809523809523,Mono-C_Other,cDC2_SEN_DYS,87.93394,0.0
HLA-DPA1,HLA-DPA1,167.14285,1.0,CD4,CD4,6.708334,0.7916666666666666,cDC2_SEN_DYS,TRM_SEN_DYS,86.92559,0.0
S100A9,S100A9,161.9631,1.0,ITGB2,ITGB2,9.629628,1.0,Mono-C_Other,Mono-NC_Other,85.796364,0.0
S100A9,S100A9,161.9631,1.0,ITGB2,ITGB2,9.387759,0.8367346938775511,Mono-C_Other,cDC2_Other,85.67543,0.0
