immune_cell_type,cell_type_short,tissue_type,n_cells,core_sen_score,sasp_score,composite_sen_score,dysfunction_score,prop_sen_high,prop_dys_high,prop_co_occurrence
Classical Monocytes,Mono-C,Ctrl,311,-0.0080904169297295,-0.09002655741010421,0.08473078846082066,-0.12340615454702455,0.3665594855305466,0.2990353697749196,0.12861736334405144
Classical Monocytes,Mono-C,EcO,187,0.004936677203246402,-0.09435334386490428,0.0583424345287295,-0.025651086271556194,0.28342245989304815,0.47058823529411764,0.1657754010695187
Classical Monocytes,Mono-C,EcP,1999,-0.036454959694437135,-0.15946336220379367,0.045991827487056484,-0.16111713327778468,0.2176088044022011,0.2111055527763882,0.061530765382691345
Classical Monocytes,Mono-C,EuE,983,-0.040908599855314476,-0.14616759318274228,0.057606941927717606,-0.14059023202368842,0.2726347914547304,0.271617497456765,0.10274669379450661
Non-Classical Monocytes,Mono-NC,Ctrl,66,-0.0075088372453294625,-0.15350989027311665,0.06826629311456638,-0.12474189801208166,0.3484848484848485,0.4090909090909091,0.18181818181818182
Non-Classical Monocytes,Mono-NC,EcO,44,0.016956844216043297,-0.16729149248886419,0.038450004712227384,-0.19281057954061476,0.22727272727272727,0.20454545454545456,0.045454545454545456
Non-Classical Monocytes,Mono-NC,EcP,251,-0.019647139307987168,-0.1781384839895237,0.0359998024689671,-0.19217157170653656,0.1952191235059761,0.17131474103585656,0.06772908366533864
Non-Classical Monocytes,Mono-NC,EuE,187,-0.02379309386471801,-0.15267620641171842,0.062353803796003866,-0.1537607678905035,0.29411764705882354,0.31016042780748665,0.12299465240641712
Tissue Resident Macrophages,TRM,Ctrl,454,0.14976336888065248,0.0642541303447828,0.2641291698952912,0.030188265230157132,0.2687224669603524,0.06607929515418502,0.05286343612334802
Tissue Resident Macrophages,TRM,EcO,1037,0.0254854173037792,-0.13810052591505717,0.15620223509549336,0.23574751170458397,0.033751205400192864,0.20443587270973965,0.0048216007714561235
Tissue Resident Macrophages,TRM,EcP,1199,0.09267407120540137,-0.05851414869101464,0.20905969310998787,0.2204540935832147,0.18098415346121768,0.32360300250208507,0.07839866555462886
Tissue Resident Macrophages,TRM,EuE,962,0.060834129249396955,0.07608917126024348,0.3818248728430782,0.22729856801408926,0.5602910602910602,0.29417879417879417,0.23076923076923078
cDC1,cDC1,Ctrl,18,0.1106261547660386,-0.13650794724032045,-0.011917321644316066,0.1500980008352134,0.3888888888888889,0.4444444444444444,0.16666666666666666
cDC1,cDC1,EcO,36,0.07085494455198446,-0.15104746445895187,-0.05669909684001733,0.0660934628608326,0.1388888888888889,0.16666666666666666,0.08333333333333333
cDC1,cDC1,EcP,58,0.08327223014763031,-0.1559394841226451,-0.033336286621086356,0.12060631842962627,0.25862068965517243,0.20689655172413793,0.06896551724137931
cDC1,cDC1,EuE,53,0.05889764722188314,-0.14479134890951237,-0.029692751377910224,0.13608946113653902,0.2641509433962264,0.2830188679245283,0.09433962264150944
cDC2,cDC2,Ctrl,266,0.05059074813415084,-0.09175402339412826,0.028633576178158097,-0.15934626826124831,0.29699248120300753,0.19924812030075187,0.07894736842105263
cDC2,cDC2,EcO,128,0.08987301746398832,-0.08059726308097846,0.04782014004518626,0.020233669434868106,0.296875,0.5625,0.1328125
cDC2,cDC2,EcP,1081,0.08116116432984817,-0.15505919226535472,0.014058957360210506,-0.13317761262097075,0.17761332099907493,0.22201665124884365,0.04995374653098982
cDC2,cDC2,EuE,402,0.054226941917122504,-0.09776916047924893,0.08798127049068499,-0.12700120166364198,0.39800995024875624,0.25870646766169153,0.12686567164179105
pDC,pDC,Ctrl,13,0.05358183435904674,-0.19036967384946216,-0.056500056382355085,0.018287905271236714,0.23076923076923078,0.3076923076923077,0.07692307692307693
pDC,pDC,EcO,48,-0.0031539845764637,-0.18095737908700749,-0.06855158635763356,-0.05720896628064414,0.10416666666666667,0.16666666666666666,0.041666666666666664
pDC,pDC,EcP,69,0.014664538606929319,-0.1957724955522187,-0.05878071712342752,-0.07486337941409885,0.15942028985507245,0.2028985507246377,0.057971014492753624
pDC,pDC,EuE,76,0.04924836201573673,-0.1293413054733012,-0.016969350968679738,-0.00039021492200462526,0.4342105263157895,0.34210526315789475,0.18421052631578946
CD16+ NK cells,NK-CD16+,Ctrl,241,-0.06361865482818371,0.09851265840740266,0.03940119334854811,-0.044746683440271925,0.27800829875518673,0.15767634854771784,0.06639004149377593
CD16+ NK cells,NK-CD16+,EcO,249,-0.07740525138043017,0.06543245254485208,0.03664250674716881,0.022093922964178486,0.24497991967871485,0.2891566265060241,0.08835341365461848
CD16+ NK cells,NK-CD16+,EcP,1319,-0.07200418957411896,0.06829845487785781,0.028295946566519355,0.01700872270482456,0.2175890826383624,0.2767247915087187,0.07354056103108415
CD16+ NK cells,NK-CD16+,EuE,521,-0.06746785807334987,0.08572237569598717,0.04817600070560855,-0.02621860509978697,0.32245681381957775,0.2072936660268714,0.08637236084452975
CD16- NK cells,NK-CD16-,Ctrl,646,-0.03514400354775113,0.1276252012425018,0.05913673981311611,0.2333438780953329,0.2306501547987616,0.14241486068111456,0.03715170278637771
CD16- NK cells,NK-CD16-,EcO,517,-0.038146331033346956,0.09494804531879339,0.04769467478421061,0.26970058558370125,0.21663442940038685,0.2263056092843327,0.04448742746615087
CD16- NK cells,NK-CD16-,EcP,1008,-0.0069812877525885905,0.05817631055255655,0.03890800918151629,0.34563331547082826,0.17162698412698413,0.34325396825396826,0.07043650793650794
CD16- NK cells,NK-CD16-,EuE,2277,-0.036980577384006785,0.11155547949010967,0.06446796155571913,0.3033550466488278,0.2977602108036891,0.24462011418533158,0.07905138339920949
CD4 T cells,CD4 T,Ctrl,357,-0.027207232312328005,-0.05677479794227323,-0.11106366545100534,-0.17825856645178503,0.22128851540616246,0.21568627450980393,0.09523809523809523
CD4 T cells,CD4 T,EcO,747,-0.032357125287660264,-0.04276867674827165,-0.09254738710141139,-0.14379739628512112,0.2998661311914324,0.3386880856760375,0.1927710843373494
CD4 T cells,CD4 T,EcP,1858,-0.030500920896809034,-0.07525788894506046,-0.11358393497571549,-0.17117012426925468,0.2378902045209903,0.2378902045209903,0.12594187298170076
CD4 T cells,CD4 T,EuE,1446,-0.020214235231094835,-0.06538370552232257,-0.10727632107705941,-0.1710596100189764,0.24688796680497926,0.22821576763485477,0.13070539419087138
CD8 T cells,CD8 T,Ctrl,50,-0.06753003354549408,-0.06651708318420818,-0.14444330154782684,-0.17245560752153394,0.36,0.2,0.16
CD8 T cells,CD8 T,EcO,47,-0.06202812550761175,-0.15070909157259485,-0.19359266760747743,-0.14278684586497908,0.1276595744680851,0.2978723404255319,0.06382978723404255
