ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
S100A9,S100A9,4.607301,0.9969481180061037,CD68,CD68,1.7322192,0.9946524064171123,Mono-C,Mono-NC,3.1697602,0.0
HLA-B,HLA-B,3.6747324,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,Treg,NK-CD16+,3.1069174,0.0
S100A9,S100A9,4.607301,0.9969481180061037,CD36,CD36,1.5925909,0.9277721261444557,Mono-C,Mono-C,3.099946,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,ITGB2,ITGB2,2.2032926,0.9796541200406917,Mono-C,Mono-C,3.0997448,0.0
HLA-B,HLA-B,3.6266181,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,γδ T,NK-CD16+,3.08286,0.0
HLA-B,HLA-B,3.6747324,1.0,CD3D,CD3D,2.4646685,0.9759615384615384,Treg,Treg,3.0697005,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,CD68,CD68,2.1410682,0.975051975051975,Mono-C,TRM,3.0686326,0.0
HLA-B,HLA-B,3.6747324,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,Treg,NK-CD16-,3.0604756,0.0
HLA-B,HLA-B,3.6266181,1.0,CD3D,CD3D,2.4646685,0.9759615384615384,γδ T,Treg,3.0456433,0.0
HLA-B,HLA-B,3.6266181,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,γδ T,NK-CD16-,3.0364184,0.0
HLA-B,HLA-B,3.516143,0.9980806142034548,KLRD1,KLRD1,2.539102,0.963531669865643,NK-CD16+,NK-CD16+,3.0276227,0.0
HLA-DRA,HLA-DRA,4.9169207,1.0,CD4,CD4,1.1303284,0.8289473684210527,cDC1,pDC,3.0236244,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,ITGB2,ITGB2,2.0387452,1.0,Mono-C,Mono-NC,3.0174713,0.0
B2M,B2M,5.0863523,1.0,KLRC2,KLRC2,0.9377544,0.5911286780851999,Treg,NK-CD16-,3.0120535,0.0
S100A9,S100A9,4.607301,0.9969481180061037,CD68,CD68,1.4085379,0.9206510681586979,Mono-C,Mono-C,3.0079195,0.0
B2M,B2M,5.0863523,1.0,CD1C,CD1C,0.9064605,0.6293532338308457,Treg,cDC2,2.9964066,0.0
S100A9,S100A9,4.607301,0.9969481180061037,ITGB2,ITGB2,1.3746808,0.8490566037735849,Mono-C,cDC1,2.990991,0.0
HLA-B,HLA-B,3.516143,0.9980806142034548,CD3D,CD3D,2.4646685,0.9759615384615384,NK-CD16+,Treg,2.9904058,0.0
HLA-B,HLA-B,3.6747324,1.0,CD3D,CD3D,2.2950902,0.9675862068965517,Treg,γδ T,2.9849114,0.0
HLA-B,HLA-B,3.516143,0.9980806142034548,KLRD1,KLRD1,2.4462187,0.9547650417215635,NK-CD16+,NK-CD16-,2.981181,0.0
HLA-B,HLA-B,3.3972902,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,cDC1,NK-CD16+,2.9681962,0.0
HLA-DRA,HLA-DRA,4.9169207,1.0,CD4,CD4,1.0098935,0.8056968463886063,cDC1,Mono-C,2.963407,0.0
HLA-B,HLA-B,3.6266181,1.0,CD3D,CD3D,2.2950902,0.9675862068965517,γδ T,γδ T,2.960854,0.0
HLA-DRA,HLA-DRA,4.9169207,1.0,CD4,CD4,0.98362136,0.8087318087318087,cDC1,TRM,2.9502711,0.0
HLA-DRA,HLA-DRA,4.9169207,1.0,CD4,CD4,0.96224767,0.8656716417910447,cDC1,cDC2,2.9395843,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,ITGB2,ITGB2,1.87833,0.9490644490644491,Mono-C,TRM,2.9372635,0.0
HLA-B,HLA-B,3.3972902,1.0,CD3D,CD3D,2.4646685,0.9759615384615384,cDC1,Treg,2.9309793,0.0
HLA-DRA,HLA-DRA,4.9169207,1.0,CD4,CD4,0.94489896,0.8983957219251337,cDC1,Mono-NC,2.9309099,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,ITGB2,ITGB2,1.8557588,0.9527363184079602,Mono-C,cDC2,2.925978,0.0
HLA-B,HLA-B,3.3972902,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,cDC1,NK-CD16-,2.9217544,0.0
S100A9,S100A9,4.607301,0.9969481180061037,CD68,CD68,1.2341106,0.8781094527363185,Mono-C,cDC2,2.9207058,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,ITGB2,ITGB2,1.8429568,0.9097888675623801,Mono-C,NK-CD16+,2.9195771,0.0
S100A9,S100A9,4.607301,0.9969481180061037,ITGB2,ITGB2,1.2128695,0.7337931034482759,Mono-C,γδ T,2.9100854,0.0
HLA-B,HLA-B,3.516143,0.9980806142034548,CD3D,CD3D,2.2950902,0.9675862068965517,NK-CD16+,γδ T,2.9056168,0.0
B2M,B2M,4.8582883,1.0,KLRC2,KLRC2,0.9377544,0.5911286780851999,NK-CD16+,NK-CD16-,2.8980212,0.0
HLA-B,HLA-B,3.2537735,0.9969481180061037,KLRD1,KLRD1,2.539102,0.963531669865643,Mono-C,NK-CD16+,2.8964376,0.0
APP,APP,1.5960888,0.9605263157894737,CD74,CD74,4.1960373,0.9850746268656716,pDC,cDC2,2.896063,0.0
HLA-B,HLA-B,3.2451503,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,CD8 T,NK-CD16+,2.892126,0.0
B2M,B2M,4.8582883,1.0,CD1C,CD1C,0.9064605,0.6293532338308457,NK-CD16+,cDC2,2.8823743,0.0
HLA-DRA,HLA-DRA,4.9169207,1.0,CD4,CD4,0.8332289,0.6201923076923077,cDC1,Treg,2.8750749,0.0
B2M,B2M,4.800268,1.0,KLRC2,KLRC2,0.9377544,0.5911286780851999,γδ T,NK-CD16-,2.8690114,0.0
HLA-B,HLA-B,3.1985424,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,Mono-NC,NK-CD16+,2.868822,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,CD68,CD68,1.7322192,0.9946524064171123,Mono-C,Mono-NC,2.8642082,0.0
HLA-B,HLA-B,3.2537735,0.9969481180061037,CD3D,CD3D,2.4646685,0.9759615384615384,Mono-C,Treg,2.859221,0.0
HLA-B,HLA-B,3.2451503,1.0,CD3D,CD3D,2.4646685,0.9759615384615384,CD8 T,Treg,2.8549094,0.0
B2M,B2M,4.800268,1.0,CD1C,CD1C,0.9064605,0.6293532338308457,γδ T,cDC2,2.8533645,0.0
HLA-B,HLA-B,3.1672554,0.995850622406639,KLRD1,KLRD1,2.539102,0.963531669865643,CD4 T,NK-CD16+,2.8531787,0.0
HLA-B,HLA-B,3.2537735,0.9969481180061037,KLRD1,KLRD1,2.4462187,0.9547650417215635,Mono-C,NK-CD16-,2.849996,0.0
HLA-B,HLA-B,3.3972902,1.0,CD3D,CD3D,2.2950902,0.9675862068965517,cDC1,γδ T,2.8461902,0.0
TNFSF13B,TNFSF13B,1.3500507,0.8282828282828283,HLA-DPB1,HLA-DPB1,4.34156,1.0,CD8 T,cDC1,2.8458052,0.0
