ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
B2M,B2M,4.309283,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,Mono-C,NK-CD16-,3.045909,0.0
HLA-B,HLA-B,3.0599415,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,Mono-NC,NK-CD16+,3.0379148,0.0
HLA-B,HLA-B,3.0503082,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,pDC,NK-CD16+,3.033098,0.0
HLA-B,HLA-B,2.9911726,0.9961315280464217,KLRD1,KLRD1,3.0158877,0.9919678714859438,NK-CD16-,NK-CD16+,3.00353,0.0
S100A8,S100A8,3.0086966,0.8609625668449198,CD69,CD69,2.97468,1.0,Mono-C,CD8 T,2.9916883,0.0
B2M,B2M,4.84326,1.0,CD1C,CD1C,1.1221648,0.671875,Treg,cDC2,2.9827123,0.0
B2M,B2M,4.1776814,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,cDC2,NK-CD16-,2.9801083,0.0
HLA-B,HLA-B,3.3321362,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,cDC1,NK-CD16-,2.9760346,0.0
B2M,B2M,4.8186245,1.0,CD1C,CD1C,1.1221648,0.671875,NK-CD16+,cDC2,2.9703946,0.0
HLA-DRA,HLA-DRA,4.740449,1.0,CD4,CD4,1.1971165,0.9006750241080038,cDC1,TRM,2.9687827,0.0
B2M,B2M,4.7949347,1.0,CD1C,CD1C,1.1221648,0.671875,γδ T,cDC2,2.9585497,0.0
HLA-DRA,HLA-DRA,4.4765854,1.0,CD4,CD4,1.398744,0.9583333333333334,cDC2,pDC,2.9376647,0.0
HLA-B,HLA-B,2.8541148,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,Treg,NK-CD16+,2.9350014,0.0
HLA-B,HLA-B,2.8255053,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,B,NK-CD16+,2.9206965,0.0
TNFSF13B,TNFSF13B,1.4955835,0.851063829787234,HLA-DPB1,HLA-DPB1,4.337592,1.0,CD8 T,cDC1,2.9165878,0.0
HLA-DPA1,HLA-DPA1,4.4285245,1.0,CD4,CD4,1.398744,0.9583333333333334,cDC1,pDC,2.9136343,0.0
HLA-B,HLA-B,2.8063695,0.9906291834002677,KLRD1,KLRD1,3.0158877,0.9919678714859438,CD4 T,NK-CD16+,2.9111285,0.0
B2M,B2M,4.665395,1.0,CD1C,CD1C,1.1221648,0.671875,pDC,cDC2,2.8937798,0.0
HLA-DRB1,HLA-DRB1,4.360245,1.0,CD4,CD4,1.398744,0.9583333333333334,cDC1,pDC,2.8794947,0.0
B2M,B2M,4.635315,0.998661311914324,CD1C,CD1C,1.1221648,0.671875,CD4 T,cDC2,2.8787398,0.0
HLA-B,HLA-B,3.1194096,0.9922854387656702,KLRD1,KLRD1,2.6199334,0.9381044487427466,TRM,NK-CD16-,2.8696713,0.0
HLA-DPB1,HLA-DPB1,4.337592,1.0,CD4,CD4,1.398744,0.9583333333333334,cDC1,pDC,2.868168,0.0
HLA-B,HLA-B,3.0909495,0.9959839357429718,KLRD1,KLRD1,2.6199334,0.9381044487427466,NK-CD16+,NK-CD16-,2.8554416,0.0
B2M,B2M,4.84326,1.0,KLRC2,KLRC2,0.8638128,0.5145067698259188,Treg,NK-CD16-,2.8535364,0.0
HLA-B,HLA-B,3.0848472,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,Mono-C,NK-CD16-,2.8523903,0.0
HLA-B,HLA-B,3.0818179,0.9976303317535545,KLRD1,KLRD1,2.6199334,0.9381044487427466,γδ T,NK-CD16-,2.8508756,0.0
HLA-B,HLA-B,2.6814282,0.9787234042553191,KLRD1,KLRD1,3.0158877,0.9919678714859438,CD8 T,NK-CD16+,2.848658,0.0
B2M,B2M,4.5732665,1.0,CD1C,CD1C,1.1221648,0.671875,cDC1,cDC2,2.8477156,0.0
B2M,B2M,4.8186245,1.0,KLRC2,KLRC2,0.8638128,0.5145067698259188,NK-CD16+,NK-CD16-,2.8412187,0.0
HLA-B,HLA-B,3.0599415,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,Mono-NC,NK-CD16-,2.8399374,0.0
APP,APP,1.5152502,0.9375,CD74,CD74,4.1612697,0.9765625,pDC,cDC2,2.83826,0.0
HLA-DRA,HLA-DRA,4.4765854,1.0,CD4,CD4,1.1971165,0.9006750241080038,cDC2,TRM,2.836851,0.0
HLA-B,HLA-B,3.0503082,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,pDC,NK-CD16-,2.8351207,0.0
B2M,B2M,4.7949347,1.0,KLRC2,KLRC2,0.8638128,0.5145067698259188,γδ T,NK-CD16-,2.8293738,0.0
B2M,B2M,4.535452,1.0,CD1C,CD1C,1.1221648,0.671875,CD8 T,cDC2,2.8288083,0.0
COPA,COPA,0.68537277,0.75,CD74,CD74,4.9635663,1.0,pDC,cDC1,2.8244696,0.0
COPA,COPA,0.66799676,0.679144385026738,CD74,CD74,4.9635663,1.0,Mono-C,cDC1,2.8157816,0.0
HLA-DPA1,HLA-DPA1,4.4285245,1.0,CD4,CD4,1.1971165,0.9006750241080038,cDC1,TRM,2.8128204,0.0
RPS19,RPS19,4.0388722,1.0,C5AR1,C5AR1,1.5773315,0.8770053475935828,Mono-NC,Mono-C,2.808102,0.0
HLA-B,HLA-B,2.9911726,0.9961315280464217,KLRD1,KLRD1,2.6199334,0.9381044487427466,NK-CD16-,NK-CD16-,2.805553,0.0
S100A9,S100A9,3.6850774,0.946524064171123,ITGB2,ITGB2,1.9110652,0.9411764705882353,Mono-C,Mono-C,2.7980714,0.0
B2M,B2M,4.469865,1.0,CD1C,CD1C,1.1221648,0.671875,Mono-NC,cDC2,2.7960148,0.0
HLA-B,HLA-B,2.5704827,0.9375,KLRD1,KLRD1,3.0158877,0.9919678714859438,cDC2,NK-CD16+,2.7931852,0.0
HLA-DRB1,HLA-DRB1,4.360245,1.0,CD4,CD4,1.1971165,0.9006750241080038,cDC1,TRM,2.7786808,0.0
B2M,B2M,4.423812,1.0,CD1C,CD1C,1.1221648,0.671875,NK-CD16-,cDC2,2.7729883,0.0
HLA-DPB1,HLA-DPB1,4.337592,1.0,CD4,CD4,1.1971165,0.9006750241080038,cDC1,TRM,2.7673542,0.0
B2M,B2M,4.665395,1.0,KLRC2,KLRC2,0.8638128,0.5145067698259188,pDC,NK-CD16-,2.7646039,0.0
HLA-B,HLA-B,3.3321362,1.0,CD3D,CD3D,2.1758227,0.9478672985781991,cDC1,γδ T,2.7539794,0.0
B2M,B2M,4.377299,0.9990356798457087,CD1C,CD1C,1.1221648,0.671875,TRM,cDC2,2.7497318,0.0
B2M,B2M,4.635315,0.998661311914324,KLRC2,KLRC2,0.8638128,0.5145067698259188,CD4 T,NK-CD16-,2.749564,0.0
APP,APP,0.53554094,0.5721925133689839,CD74,CD74,4.9635663,1.0,Mono-C,cDC1,2.7495537,0.0
COPA,COPA,0.5338686,0.6894889103182257,CD74,CD74,4.9635663,1.0,TRM,cDC1,2.7487175,0.0
HLA-DRA,HLA-DRA,4.740449,1.0,CD4,CD4,0.74760103,0.75,cDC1,Mono-NC,2.744025,0.0
HLA-DRA,HLA-DRA,4.740449,1.0,CD4,CD4,0.7391653,0.7890625,cDC1,cDC2,2.7398071,0.0
B2M,B2M,4.3562927,1.0,CD1C,CD1C,1.1221648,0.671875,B,cDC2,2.7392287,0.0
HLA-B,HLA-B,2.8541148,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,Treg,NK-CD16-,2.737024,0.0
COPA,COPA,0.50650203,0.5227272727272727,CD74,CD74,4.9635663,1.0,Mono-NC,cDC1,2.7350342,0.0
S100A9,S100A9,3.6850774,0.946524064171123,ITGB2,ITGB2,1.7841514,0.95274831243973,Mono-C,TRM,2.7346144,0.0
S100A9,S100A9,3.6850774,0.946524064171123,ITGB2,ITGB2,1.7829479,0.9772727272727273,Mono-C,Mono-NC,2.7340126,0.0
HLA-B,HLA-B,2.8255053,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,B,NK-CD16-,2.7227192,0.0
APP,APP,0.4814753,0.6142719382835101,CD74,CD74,4.9635663,1.0,TRM,cDC1,2.7225208,0.0
B2M,B2M,4.5732665,1.0,KLRC2,KLRC2,0.8638128,0.5145067698259188,cDC1,NK-CD16-,2.7185397,0.0
B2M,B2M,4.309283,1.0,CD1C,CD1C,1.1221648,0.671875,Mono-C,cDC2,2.7157238,0.0
HLA-B,HLA-B,2.8063695,0.9906291834002677,KLRD1,KLRD1,2.6199334,0.9381044487427466,CD4 T,NK-CD16-,2.7131515,0.0
S100A8,S100A8,3.0086966,0.8609625668449198,CD68,CD68,2.4137654,0.9758919961427194,Mono-C,TRM,2.711231,0.0
TNFSF13B,TNFSF13B,1.0810715,0.8449197860962567,HLA-DPB1,HLA-DPB1,4.337592,1.0,Mono-C,cDC1,2.7093318,0.0
HLA-DRA,HLA-DRA,4.740449,1.0,CD4,CD4,0.678002,0.6631016042780749,cDC1,Mono-C,2.7092254,0.0
APP,APP,1.5152502,0.9375,CD74,CD74,3.898841,0.9971070395371263,pDC,TRM,2.7070456,0.0
HLA-A,HLA-A,3.392805,1.0,APLP2,APLP2,2.0199518,0.9681774349083896,NK-CD16+,TRM,2.7063785,0.0
HLA-B,HLA-B,3.3321362,1.0,CD3D,CD3D,2.0713823,0.9473684210526315,cDC1,Treg,2.7017593,0.0
COPA,COPA,0.43698618,0.609375,CD74,CD74,4.9635663,1.0,cDC2,cDC1,2.7002761,0.0
B2M,B2M,4.535452,1.0,KLRC2,KLRC2,0.8638128,0.5145067698259188,CD8 T,NK-CD16-,2.6996324,0.0
TNFSF13B,TNFSF13B,1.0610316,0.8863636363636364,HLA-DPB1,HLA-DPB1,4.337592,1.0,Mono-NC,cDC1,2.6993117,0.0
APP,APP,0.42530286,0.3829787234042553,CD74,CD74,4.9635663,1.0,CD8 T,cDC1,2.6944346,0.0
HLA-A,HLA-A,3.368081,1.0,APLP2,APLP2,2.0199518,0.9681774349083896,Treg,TRM,2.6940165,0.0
RPS19,RPS19,3.799736,1.0,C5AR1,C5AR1,1.5773315,0.8770053475935828,B,Mono-C,2.6885338,0.0
TNFSF13B,TNFSF13B,1.4955835,0.851063829787234,HLA-DPB1,HLA-DPB1,3.8808658,1.0,CD8 T,cDC2,2.6882248,0.0
HLA-DRA,HLA-DRA,4.740449,1.0,CD4,CD4,0.63554865,0.5,cDC1,Treg,2.6879988,0.0
HLA-DRB1,HLA-DRB1,3.9611788,0.96875,CD4,CD4,1.398744,0.9583333333333334,cDC2,pDC,2.6799614,0.0
APP,APP,1.5152502,0.9375,CD74,CD74,3.8274946,1.0,pDC,pDC,2.6713724,0.0
