ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
HLA-B,HLA-B,3.343583,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,cDC1,NK-CD16-,2.8917575,0.0
APP,APP,1.8203402,0.9710144927536232,CD74,CD74,3.9608872,1.0,pDC,B,2.8906136,0.0
B2M,B2M,5.030957,1.0,KLRC2,KLRC2,0.745135,0.44742063492063494,NK-CD16+,NK-CD16-,2.888046,0.0
APP,APP,1.8203402,0.9710144927536232,CD74,CD74,3.9495316,1.0,pDC,pDC,2.8849359,0.0
HLA-DRA,HLA-DRA,4.4775405,0.996299722479186,CD4,CD4,1.2868184,0.8985507246376812,cDC2,pDC,2.8821795,0.0
S100A8,S100A8,4.200948,0.9919959979989995,CD69,CD69,1.5622689,0.8003152916447714,Mono-C,γδ T,2.8816085,0.0
S100A8,S100A8,4.200948,0.9919959979989995,CD36,CD36,1.5478277,0.9224612306153076,Mono-C,Mono-C,2.874388,0.0
HLA-DRA,HLA-DRA,4.7780585,1.0,CD4,CD4,0.96974754,0.7085201793721974,cDC1,Treg,2.873903,0.0
HLA-B,HLA-B,3.306893,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,Mono-NC,NK-CD16-,2.8734126,0.0
HLA-DRA,HLA-DRA,4.7780585,1.0,CD4,CD4,0.9666046,0.9222941720629048,cDC1,cDC2,2.8723316,0.0
APP,APP,1.8203402,0.9710144927536232,CD74,CD74,3.923947,0.9991659716430359,pDC,TRM,2.8721437,0.0
B2M,B2M,4.4184346,1.0,CD1C,CD1C,1.3113899,0.849213691026827,TRM,cDC2,2.8649123,0.0
S100A9,S100A9,4.725987,0.9969984992496248,CD68,CD68,0.99677676,0.8871415356151712,Mono-C,cDC2,2.8613818,0.0
B2M,B2M,4.4108567,0.9990079365079365,CD1C,CD1C,1.3113899,0.849213691026827,NK-CD16-,cDC2,2.8611233,0.0
B2M,B2M,5.06733,1.0,KLRC1,KLRC1,0.6535125,0.36997725549658833,Treg,NK-CD16+,2.8604212,0.0
HLA-B,HLA-B,3.2722018,0.9994997498749375,KLRD1,KLRD1,2.439932,0.9642857142857143,Mono-C,NK-CD16-,2.856067,0.0
HLA-B,HLA-B,3.3473277,0.9978980557015239,CD3D,CD3D,2.3603535,0.9679453494482396,γδ T,γδ T,2.8538406,0.0
HLA-DRA,HLA-DRA,4.7780585,1.0,CD4,CD4,0.92763525,0.7923961980990495,cDC1,Mono-C,2.8528469,0.0
HLA-B,HLA-B,3.343583,1.0,CD3D,CD3D,2.3603535,0.9679453494482396,cDC1,γδ T,2.8519683,0.0
B2M,B2M,5.030957,1.0,KLRC1,KLRC1,0.6535125,0.36997725549658833,NK-CD16+,NK-CD16+,2.8422348,0.0
B2M,B2M,4.935948,1.0,KLRC2,KLRC2,0.745135,0.44742063492063494,γδ T,NK-CD16-,2.8405414,0.0
B2M,B2M,4.3667626,0.9994997498749375,CD1C,CD1C,1.3113899,0.849213691026827,Mono-C,cDC2,2.8390763,0.0
