immune_niche,Immune-high,Immune-low,Immune-moderate,Immune-moderate-high,Immune-moderate-low,Immune-poor
0,0.0,0.0018248175182481751,0.0,0.0,0.0,0.9981751824817519
1,0.37681159420289856,0.16996047430830039,0.0,0.18840579710144928,0.2516469038208169,0.013175230566534914
2,0.13,0.08333333333333333,0.08666666666666667,0.47333333333333333,0.22666666666666666,0.0
3,0.8850574712643678,0.0,0.022988505747126436,0.08045977011494253,0.011494252873563218,0.0
4,0.01733102253032929,0.41074523396880414,0.0,0.024263431542461005,0.15944540727902945,0.3882149046793761
5,0.0,0.44912280701754387,0.0017543859649122807,0.11754385964912281,0.26666666666666666,0.1649122807017544
6,0.15187376725838264,0.2583826429980276,0.28402366863905326,0.04930966469428008,0.2485207100591716,0.007889546351084813
